"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C7, ","2","22uF","CP_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor, small symbol",""
"C2, C8, ","2","150nF","C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor, small symbol",""
"C3, C4, C5, C6, C9, C10, C11, ","7","10nF","C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor, small symbol",""
"J1, ","1","Conn_02x15_Odd_Even","Conn_02x15_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x15_P2.54mm_Vertical","Generic connector, double row, 02x15, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, R2, R3, R4, R5, R6, R7, R8, ","8","10k","R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, small symbol",""
"SW1, ","1","SW_COM-DPDT 8x8 mm","SW_Push_DPDT","Button_Switch_THT:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm","Momentary Switch, dual pole double throw",""
"SW2, ","1","NAV_ENC-EC11","Rotary_Encoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm","Rotary encoder, dual channel, incremental quadrate outputs, with switch",""
"SW3, ","1","COM_ENC-EC11","Rotary_Encoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm","Rotary encoder, dual channel, incremental quadrate outputs, with switch",""
"U1, U5, ","2","MAX7219","MAX7219","Package_DIP:DIP-24_W7.62mm_LongPads","8-Digit LED Display Driver",""
"U2, ","1","LD-3161-AS NAV/COM_ACTV","HDSP-A153","Cesna_Radio_Stack:3161AS_7_Segmentos","One digit 7 segment red, common cathode",""
"U3, ","1","3641-AS NAV/COM_ACTV","CC56-12EWA","Cesna_Radio_Stack:3641-AS","4 digit 7 segment high efficiency red LED, common cathode",""
"U4, ","1","LD-3161-AS NAV/COM_ACTV_KHZ","HDSP-A153","Cesna_Radio_Stack:3161AS_7_Segmentos","One digit 7 segment red, common cathode",""
"U6, ","1","LD-3161-AS NAV/COM_STB","HDSP-A153","Cesna_Radio_Stack:3161AS_7_Segmentos","One digit 7 segment red, common cathode",""
"U7, ","1","3641-AS NAV/COM_STB","CC56-12EWA","Cesna_Radio_Stack:3641-AS","4 digit 7 segment high efficiency red LED, common cathode",""
"U8, ","1","LD-3161-AS NAV/COM_STB_KHZ","HDSP-A153","Cesna_Radio_Stack:3161AS_7_Segmentos","One digit 7 segment red, common cathode",""
